pot,heating.ring,trt,population,soil,Inocula.source,CORLAN,DALPUR,ECHPUR,LESCAP,RUDHIR,RATPIN,BOUCUR,SCHSCO,ANDGER,KOEMAC,CommTotal,Unknown.Grass,Unknown.Forb,Notes
1,Heated 1,Heated,local,local remnant,Sauk Trail,0.003,0.406,0.108,0.526,0,0.059,0,0.046,3.58,0,4.728,NA,NA,
2,Heated 1,Heated,northern,northern remnant,Northern 1,0.66,0.288,0,0.073,0.025,0,16.01,2.34,1.61,0,21.006,NA,NA,
3,Heated 1,Heated,southern,local remnant,Helmer Brook,0.054,0.077,0.073,0.045,0,0.042,20.33,0.886,4.7,0,26.207,NA,NA,
4,Heated 1,Heated,northern,local remnant,Sauk Trail,1.744,0.39,0,0.112,0,0,10.41,1.74,0.738,0,15.134,NA,NA,
5,Heated 1,Heated,southern,local remnant,Prairie Ronde,0.121,0.11,0.192,0.208,0.047,0.038,14.71,2.26,2.37,0,20.056,0.323,NA,
6,Heated 1,Heated,northern,southern remnant,Schwartz,3.347,0.248,0.059,0.16,0.226,0,15.69,2.27,0.193,0,22.193,NA,NA,
7,Heated 1,Heated,southern,southern remnant,Schwartz,0.145,0.077,0.221,0.057,0.067,0.111,19.86,0.908,1.77,0,23.216,NA,NA,
8,Heated 1,Heated,northern,local remnant,Sauk Trail,3.915,0.206,0,0.067,0.026,0,11.23,1.378,0.604,0,17.426,NA,NA,
9,Heated 1,Heated,local,northern remnant,Northern 4,0.007,0.178,0.119,0.636,0.01,0,3.29,0.118,0.051,0,4.409,NA,NA,
10,Heated 1,Heated,local,northern remnant,Northern 3,0,0.142,0.688,0.473,0.047,0,4.18,0.052,0.017,0,5.599,NA,NA,
11,Heated 1,Heated,southern,southern remnant,Schwartz,0.27,0.087,0.128,0.091,0.094,0.121,16.97,1.083,2.021,0,20.865,0.021,0.03,
12,Heated 1,Heated,local,local remnant,Helmer Brook,0.009,0.406,0.38,0.742,0.022,0,3.36,0,0.211,0,5.13,NA,NA,
13,Heated 1,Heated,local,southern remnant,Denison,0,0.805,0.113,0.881,0.417,0.0136,7.52,0.187,0.292,0,10.2286,NA,NA,
14,Heated 1,Heated,local,southern remnant,Pennsylvania,0.01,0.433,1.133,1.63,0.083,0.016,2.58,0.071,0.304,0,6.26,NA,NA,
